2015-02-25 04:54:57 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 120 - Array to string conversion 
2015-02-25 04:54:57 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 120 - Array to string conversion 
2015-02-25 04:54:57 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 120 - Array to string conversion 
2015-02-25 04:54:57 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 120 - Array to string conversion 
2015-02-25 04:54:57 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 120 - Array to string conversion 
2015-02-25 04:55:44 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 125 - Undefined variable: i 
2015-02-25 04:55:46 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 125 - Undefined variable: i 
2015-02-25 04:57:15 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 125 - Undefined variable: i 
2015-02-25 04:57:17 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 125 - Undefined variable: i 
2015-02-25 04:58:03 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 125 - Undefined variable: i 
2015-02-25 04:58:05 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 125 - Undefined variable: i 
2015-02-25 04:58:37 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 126 - Undefined variable: i 
2015-02-25 04:58:42 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 126 - Undefined variable: i 
2015-02-25 04:59:59 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 126 - Undefined variable: i 
2015-02-25 05:00:00 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 126 - Undefined variable: i 
2015-02-25 05:00:33 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 126 - Undefined variable: i 
2015-02-25 05:00:35 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 126 - Undefined variable: i 
2015-02-25 05:00:44 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 126 - Undefined variable: i 
2015-02-25 05:00:45 // Error File: C:\xampp\htdocs\RdG\gtrabajo.php | Error Code: 8 | Error Line: 126 - Undefined variable: i 
2015-02-26 06:01:12 // Error File: C:\xampp\htdocs\RdG\renom_gru.php | Error Code: 8 | Error Line: 55 - Undefined variable: valor 
2015-02-26 06:02:15 // Error File: C:\xampp\htdocs\RdG\renom_gru.php | Error Code: 8 | Error Line: 55 - Undefined variable: valor 
2015-02-26 06:30:22 // Error File: C:\xampp\htdocs\RdG\go_cdatos.php | Error Code: 8 | Error Line: 22 - Undefined variable: db 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 85 - Undefined index: nombre 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 87 - Undefined index: estado 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 89 - Undefined index: descripcion 
